Part Number,Description,Resistor,dimention,Power (1/XXW),Nominal Value ohms,Tolerance
A31SD034120280,S RES 1/16W 12K +-1% 0402,1,402,16,12000,0.01
A31SD034121090,S RES 1/16W 121 +-1% 0402,1,402,16,121,0.01
A31SD034137180,S RES 1/16W 1.37K +-1% 0402,1,402,16,1370,0.01
A31SD034150080,S RES 1/16W 150 +-1% 0402,1,402,16,150,0.01
A31SD034150180,S RES 1/16W 1.5K +-1% 0402,1,402,16,1500,0.01
A31SD034150380,S RES 1/16W 150K +-1% 0402,1,402,16,150000,0.01
A31SD034150A80,S RES 1/16W 15 +-1% 0402,1,402,16,15,0.01
A31SD034154180,S RES 1/16W 1.54K +-1% 0402,1,402,16,1540,0.01
A31SD034165180,S RES 1/16W 1.65K +-1% 0402,1,402,16,1650,0.01
A31SD034182280,S RES 1/16W 18.2K +-1% 0402,1,402,16,18200,0.01
A31SD034200080,S RES 1/16W 200 +-1% 0402,1,402,16,200,0.01
A31SD034200280,S RES 1/16W 20K +-1% 0402,1,402,16,20000,0.01
A31SD034200380,S RES 1/16W 200K +-1% 0402,1,402,16,200000,0.01
A31SD034205280,S RES 1/16W 20.5K +-1% 0402,1,402,16,20500,0.01
A31SD034215280,S RES 1/16W 21.5K +-1% 0402,1,402,16,21500,0.01
A31SD034300280,S RES 1/16W 30K +-1% 0402,1,402,16,30000,0.01
A31SD034316280,S RES 1/16W 31.6K +-1% 0402,1,402,16,31600,0.01
A31SD034475180,S RES 1/16W 4.75K +-1% 0402,1,402,16,4750,0.01
A31SD034715280,S RES 1/16W 71.5K +-1% 0402,1,402,16,71500,0.01
A31SD041100180,S RES 1/20W 1K +-1% 0201,1,201,20,1000,0.01
A31SD041100280,S RES 1/20W 10K +-1% 0201,1,201,20,10000,0.01
A31SD041100480,S RES 1/20W 1M +-1% 0201,1,201,20,1000000,0.01
A31SD041100A80,S RES 1/20W 10 +-1% 0201,1,201,20,10,0.01
